Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
张琳艳 - voice.mp3	La futbolista xinesa Zhang Linyan	YouTube CC-BY|中国新闻社
Voces de EntretELA J Ramon Calabuig (Poeta).ogg	Gravació de poemes del llibre EntretELA de Ramon Calabuig	cc-by-sa-4.0
Josep Ministral (veu).ogg	Mostra de veu de Josep Ministral.	cc-zero
Armand Olivé (veu).ogg	Mostra de veu d'Armand Olivé.	cc-zero
Carles Coll (veu).ogg	Mostra de veu de Carles Coll.	cc-zero
Jaume Cristau (veu).ogg	Mostra de veu de Jaume Cristau.	cc-zero
Floréal Martorell (veu).ogg	Mostra de veu de Floréal Martorell.	cc-zero
Josep Nogué i Felip - veu.ogg	Veu en català de l'economista i activista social català Josep Nogué i Felip, enregistrada el 20 de març del 2023.	cc-zero
Joan-Lluís Lluís (veu).ogg	Veu en català de l'escriptor, traductor i columnista català Joan-Lluís Lluís, enregistrada l'11 de juny del 2023.	cc-zero
Anna Maria Bofarull (veu).ogg	Mostra de veu d'Anna Maria Bofarull.	cc-zero
Elies Barberà (veu).ogg	Mostra de veu d'Elies Barberà.	cc-zero
Josep Piera (veu).ogg	Mostra de veu de Josep Piera.	cc-zero
Joan Magrané (veu).ogg	Mostra de veu de Joan Magrané.	cc-zero
Jordi Roura Llauradó (veu).ogg	Mostra de veu de Jordi Roura Llauradó.	cc-zero
Anna Pantinat (veu).ogg	Mostra de veu d'Anna Pantinat.	cc-zero
Laura López Granell (veu).ogg	Mostra de veu de Laura López Granell.	cc-zero
Cèlia Sànchez-Mústich (veu).ogg	Mostra de veu de Cèlia Sànchez-Mústich.	cc-zero
Florenci Salesas (veu).ogg	Mostra de veu de Florenci Salesas.	cc-zero
DavidFernàndezRamos(veu).ogg	Mostra de veu del periodista David Fernàndez i Ramos.	cc-zero
Ramon Humet (veu).ogg	Mostra de veu de Ramon Humet.	cc-zero
Joan-Daniel Bezsonoff (veu).ogg	Mostra de veu de Joan-Daniel Bezsonoff.	cc-zero
Fèlix Edo Tena (veu).ogg	Mostra de veu de Fèlix Edo Tena.	cc-zero
Sebas Martín (veu).ogg	Mostra de veu de Sebas Martín.	cc-zero
Guillem Medina (veu).ogg	Mostra de veu de Guillem Medina.	cc-zero
August Bover Font (veu).ogg	Mostra de veu d'August Bover Font.	cc-zero
AlfredRodríguezPicó(veu).ogg	Mostra de veu del meteoròleg català Alfred Rodríguez Picó.	cc-zero
Raquel Santanera (veu).ogg	Mostra de veu de Raquel Santanera.	cc-zero
Elies Barberà (veu).ogg	Mostra de veu d'Elies Barberà.	cc-zero
Josep Piera (veu).ogg	Mostra de veu de Josep Piera.	cc-zero
Joan Magrané (veu).ogg	Mostra de veu de Joan Magrané.	cc-zero
Jordi Roura Llauradó (veu).ogg	Mostra de veu de Jordi Roura Llauradó.	cc-zero
Anna Pantinat (veu).ogg	Mostra de veu d'Anna Pantinat.	cc-zero
Laura López Granell (veu).ogg	Mostra de veu de Laura López Granell.	cc-zero
Cèlia Sànchez-Mústich (veu).ogg	Mostra de veu de Cèlia Sànchez-Mústich.	cc-zero
Florenci Salesas (veu).ogg	Mostra de veu de Florenci Salesas.	cc-zero
DavidFernàndezRamos(veu).ogg	Mostra de veu del periodista David Fernàndez i Ramos.	cc-zero
Ramon Humet (veu).ogg	Mostra de veu de Ramon Humet.	cc-zero
Joan-Daniel Bezsonoff (veu).ogg	Mostra de veu de Joan-Daniel Bezsonoff.	cc-zero
Fèlix Edo Tena (veu).ogg	Mostra de veu de Fèlix Edo Tena.	cc-zero
Sebas Martín (veu).ogg	Mostra de veu de Sebas Martín.	cc-zero
Guillem Medina (veu).ogg	Mostra de veu de Guillem Medina.	cc-zero
August Bover Font (veu).ogg	Mostra de veu d'August Bover Font.	cc-zero
AlfredRodríguezPicó(veu).ogg	Mostra de veu del meteoròleg català Alfred Rodríguez Picó.	cc-zero
Raquel Santanera (veu).ogg	Mostra de veu de Raquel Santanera.	cc-zero
Xavier Aliaga (veu).ogg	Mostra de veu de Xavier Aliaga.	cc-zero
TaniaTapiaDíaz(veu).ogg	Mostra de veu de la periodista na Tania Tapia Díaz.	cc-zero
Vicenç Altaió (veu).ogg	Mostra de veu de Vicenç Altaió.	cc-zero
Jordi Armadans (veu).ogg	Mostra de veu de Jordi Armadans.	cc-zero
Quim Bigas (veu).ogg	Mostra de veu de Quim Bigas.	cc-zero
MaiolRogerHoms(veu).ogg	Mostra de veu del periodista Maiol Roger Homs.	cc-zero
CarmeSansaAlbert(veu).ogg	Mostra de veu de l'actriu Carme Sansa i Albert.	cc-zero
EstelSoléCasadellà(veu).ogg	Mostra de veu de l'escriptora i actriu Estel Solé i Casadellà.	cc-zero
AmparoMorenoGarrigós(veu).ogg	Mostra de veu de l'actriu Amparo Moreno Garrigós.	cc-zero
MercheMar(veu).ogg	Mostra de veu de vedet de revista i music hall Merche Mar.	cc-zero
Antoni Soler Ricart (veu).ogg	Mostra de veu d'Antoni Soler Ricart.	cc-zero
Luis Carlos Díaz - voice.mp3	Autopresentació de Luis Carlos Díaz, realitzada per a la seua entrevista a La Represa	cc-by-sa-3.0
La Represa - Ràdio Godella - 24-03-2017.mp3	Entrevista a Luis Carlos Díaz, 66 edició de La Represa.	cc-by-sa-3.0
Lalo Kubala - voice.mp3	Introducció de veu de Lalo Kubala. Extret del Noranta-dosé programa de "La Represa", emés a Ràdio Godella el 12 de gener de 2018.	cc-by-sa-4.0
La Represa - Ràdio Godella - 09-10-2019.mp3	Entrevista amb Jordi Sebastià, periodista i eurodiputat.	CC-BY-SA 4.0
Jordi Sebastià - voice.mp3	Voice Intro Project de Jordi Sebastià	cc-by-sa-4.0
Audio la banalitat del mal gerard.ogg	Àudio sobre l'article La banalitat del mal de la Viquipèdia en català, locutat per Gerard Guerrero en el marc del projecte Be the key.	cc-by-sa-4.0
Ca islamofobia maria.ogg	Àudio de l'article Islamofòbia locutat per Maria.	cc-by-sa-4.0
Ca eco mitologia georgina.ogg	Àudio de l'article Eco (mitologia) locutat per Georgina Pahissa.	cc-by-sa-4.0
Ca absis central de sant climent de taull sonia.ogg	Àudio de l'article Absis central de Sant Climent de Taüll locutat per Sònia Vall.	cc-by-sa-4.0
Ca natura medol.ogg	Àudio de l'article Natura locutat per Medol.	cc-by-sa-4.0
Ca ramon llull alba.ogg	Àudio de l'article Ramon Llull locutat per Alba Sabaté.	cc-by-sa-4.0
Ca treva de nadal julia.ogg	Àudio de l'article Treva de Nadal locutat per Júlia.	cc-by-sa-4.0
La Represa - Ràdio Godella - 06-12-2019.mp3	Entrevista 119 de La Represa, amb Lorenzo Macías, Loren D.	CC-BY-SA 4.0
Loren D - voice.mp3	Voice Intro project de Loren D	CC-BY-SA 4.0
Daniela Lacave - voice.mp3	Autopresentació de la idol de K-pop Daniela Lacave, realitzada al programa de ràdio La Represa	CC-BY-SA 4.0
Yasmina Drissi Sales - ca.ogg	Yasmina Drissi i Sales - veu pel viquiprojecte La veu és lliure	cc-by-sa-4.0
Cesk Freixas - ca.ogg	[[:ca:Cesk Freixas|Cesk Freixas]] - veu pel viquiprojecte La veu és lliure	cc-by-sa-4.0
Adrià Carrasco i Tarrés - veu.ogg	Veu d'Adrià Carrasco i Tarrés, activista i tècnic de so català	cc-by-sa-4.0
Silvia Cebolla - voice.mp3	Autopresentació de la comunicadora aragonesa Silvia Cebolla	cc-by-sa 4.0
La Represa - Ràdio Godella - 22-11-2019.mp3	Entrevista amb la comunicadora aragonesa Silvia Cebolla	cc-by-sa 4.0
La Represa - Ràdio Godella - 06-03-2020.mp3	Entrevista a Daniela Lacave, Nia, artista de KPOP a UnionWave.	cc-by-sa-4.0
Ferran Martínez - voice.mp3	Mostra de veu de Ferran Martínez Ruiz	cc-by-sa-4.0
Antonio Laguna - voice.mp3	Voice intro project d'Antonio Laguna	cc-by-sa-4.0
El Virgo de Vicenteta - La Maredeueta - Toni de l'Hostal.mp3	Toni de l'Hostal interpreta la seua versió de "La Maredeueta".	cc-by-sa-4.0
Juli Mira - voice.mp3	Autopresentació de l'artista Juli Mira	cc-by-sa 4.0
Francesc Fenollosa - Capità Planeta.mp3	Veu amb la catchphrase del Capità Planeta	cc-by-sa-4.0
A Hare Grows in Manhattan - Edu Borja.mp3	Extracte del text de Bugs Bunny al curtmetratge "A Hare Grows in Manhattan", amb veu d'Edu Borja	cc-by-sa-4.0
What's up Doc - Edu Borja.mp3	Catchphrase de Bugs Bunny realitzada per Edu Borja	cc-by-sa-4.0
Merrie Melodies outro - Edu Borja.mp3	Outro de Merrie Melodies cantada per Edu Borja	cc-by-sa-4.0
Vito Corleone - Juli Mira.mp3	Representació de Vito Corleone realitzada per Juli Mira el 2020.	cc-by-sa-4.0
Mr Satan - 176.mp3	Veu de Mr. Satan (Sergio Capelo) a l'episodi 176 de Bola de Drac Z	CC-BY-SA 4.0
Mr Satan - 213.mp3	Veu de Mr. Satan (Sergio Capelo) a l'episodi 213 de Bola de Drac Z	CC-BY-SA 4.0
Karate Kid - pel·lícula.mp3	Veu de Juli Mira fent de Mestre Miyagi a la pel·lícula "Karate Kid"	CC-BY-SA 4.0
El Padrí - pel·lícula.mp3	Veu de Juli Mira fent de Vito Corleone a la pel·lícula "El Padrí"	CC-BY-SA 4.0
Tortugues Mutants - April O'Neil - 002.mp3	Veu d'April O'Neil (Xus Romero) al segon episodi de la sèrie de les Tortugues Mutants	CC-BY-SA 4.0
Shin Chan - 209.mp3	Veus de Hiroshi (Rafa Contreras) i Shinnosuke Nohara (Júlia Sorlí) a l'epidosi 209 de la sèrie Shin Chan	CC-BY-SA 4.0
Shin Chan - 234.mp3	Veus de Hiroshi (Rafa Contreras) i Shinnosuke Nohara (Júlia Sorlí) a l'episodi 234 de la sèrie Shin Chan.	CC-BY-SA 4.0
Francesc Fenollosa - voice.mp3	Voice Intro Project de Francesc Fenollosa i Ten, extret de La Represa.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 23-09-2016.mp3	Entrevista amb Francesc Fenollosa Ten	CC-BY-SA 4.0
Mari Carme Giner - voice.mp3	Voice Intro Project de Mari Carme Giner	CC-BY-SA 4.0
La Represa - Ràdio Godella - 8-7-2016.mp3	Entrevista amb Mari Carme i Vanessa Giner.	CC-BY-SA 4.0
Rafa Contreras - voice.mp3	Voice Intro Project de Rafa Contreras	CC-BY-SA 4.0
La Represa - Ràdio Godella - 9-12-2016.mp3	Entrevista amb Rafael Contreras Raya	CC-BY-SA 4.0
Enric Tàrrega - voice.mp3	Voice Intro Project d'Enric Tàrrega	CC-BY-SA 4.0
Viquillibre Dones en STEM - Margarita Salas.mp3	gravació d'audio del Viquillibre Dones en STEM Margarita Salas	cc-by-sa-4.0
La Represa - Ràdio Godella - 09-10-2020.mp3	Emissió pòstuma de l'entrevista feta a Enric Tàrrega i Andrés l'estiu del 2018 [https://www.tresdeu.com/2020/10/la-represa-enric-tarrega/]	cc-by-sa-4.0
Geni Tortuga - voice.mp3	Veu de Francesc Fenollosa interpretant al Geni Tortuga	CC-BY-SA 4.0
Krilin - voice.mp3	Veu de Krilin interpetada per Xus Romero.	cc-by-sa-4.0
Krilin - La Tarara (curt).mp3	Xus Romero catnta "La Tarara", amb l'adaptació feta per a Bola de Drac.	cc-by-sa-4.0
Son Goku menut - voice.mp3	Mari Carme Giner fent la veu de Goku	cc-by-sa-4.0
Miss Tagless - voice.mp3	Voice Intro project de Miss Tagless	cc-by-sa-4.0
La Represa - Ràdio Godella - 23-10-2020.mp3	Entrevista amb Miss Tagless	cc-by-sa-4.0
Vicent Garcia Devís - voice.mp3	Voice Intro project de Vicent Garcia Devís	cc-by-sa-4.0
La Represa - Ràdio Godella - 30-10-2020.mp3	Entrevista amb Vicent Garcia Devís emesa per La Represa l'octubre del 2020.	cc-by-sa-4.0
Joan Rafel Ramos - voice.mp3	Presentació en audio de Joan Rafel Ramos	cc-by-sa-4.0
Fitxer Font Àudio del 1 Com crear una referència a la Viquipèdia amb l editor gràfic.ogg	Fitxer font de l'àudio del fitxer Fitxer Font Vídeo del Com crear una referència a la Viquipèdia amb l editor gràfic	cc-by-sa-4.0
Fitxer Font Àudio 2 PujarAlCommons.ogg	Fitxer Font Àudio 2 PujarAlCommons	cc-by-sa-4.0
Fitxer Font Àudio 3 Canvi De Nom Pàgina de la Viquipèdia.ogg	Fitxer Font Àudio 3 Canvi De Nom Pàgina de la Viquipèdia	cc-by-sa-4.0
