Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
12 Cançoneta.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
36 Elegia forestal.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
20 Retorn absències.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
33 Racó de món.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
09 Els mestres.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
11 Per l'inescrutable.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
48 Drecera.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
23 Poesia.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
46 Canyar.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
64 Germana.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
31 Ja les veremes.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
15 Veig una noia.ogg	Versió sonora d'un poema de Joan Arús i Colomer.	cc-by-sa-4.0
El meu poble-2.ogg	Versió sonora d'un poema de Joan Arús	cc-by-sa-4.0
Vicent Baydal - voice 01.ogg	Autopresentació de Vicent Baydal	CC-BY-SA 4.0
Jose Ignacio Casar Pinazo - voice.ogg	Autopresentació de Jose Ignacio Casar Pinazo	CC-BY-SA 4.0
Gervasio Sánchez - voice.ogg	Autopresentació de Gervasio Sánchez	CC-BY-SA 4.0}}{{Museu Valencià d'Etnologia
La Represa - Ràdio Godella - 09-09-2016.ogg	Entrevista a Gervasio Sánchez	CC-BY-SA 4.0}}{{Museu Valencià d'Etnologia
La Represa - Ràdio Godella - 16-09-2016.ogg	Vicent Baydal i J. Ignacio Casar Pinazo parlen sobre Ignasi Pinazo Camarlench	CC-BY-SA 4.0
Viquitrobada 2016 - jazz.ogg	Anunci de la Viquitrobada 2016. Música: Turning Points.	cc-by-sa 3.0
Viquitrobada 2016 - smiling.ogg	Anunci de la Viquitrobada 2016. Música: [[:File:HeComesUpSmiling.ogg|He Comes Up Smiling]].	cc-by-sa 3.0
Viquitrobada 2016 - samba.ogg	Anunci de la Viquitrobada 2016. Música: Samba de fato.	cc-by-sa 3.0
XXX Individual - Colp a Colp 29.ogg	Crònica de la fase prèvia del XXX Individual de Raspall<br />Basat en [http://www.pilotaveu.com/article/12143/pablo-guanya-a-guadassuar-i-la-llosa-de-ranes-tancara-la-ronda-previa-als-quarts-de-final crònica de PilotaVeu]	CC-BY-SA 4.0
Moltó i Sergio - Colp a Colp 32.ogg	Testimoni dels dos finalistes previ a la final del XXX Individual de Raspall	CC-BY-SA 4.0
Entrevista Marrahí - Colp a Colp 32.ogg	El campió de l'Individual de Raspall 2014, Marrahí, analitza la final de 2016 per a Colp a Colp	CC-BY-SA 4.0
Entrevista Marc de Montserrat - Colp a Colp 17.ogg	Entrevista a Marc de Montserrat analitzant el seu debut a la Copa Diputació de València	CC-BY-SA 4.0
Entrevista Punxa - Colp a Colp 22.ogg	Entrevista a Àngel Gregori Roig, ''Punxa'', de cara a la final de la Copa de Raspall 2016.	CC-BY-SA 4.0
Entrevista Sacha - Colp a Colp 25.ogg	Entrevista a Sacha Kruithof Perelló, pilotari en modalitat de Llargues i a estil indirecte, abans de la seua participació al Mundial de One Wall a Las Vegas	CC-BY-SA 4.0
Entrevista Soro III - Colp a Colp 28.ogg	Entrevista a Soro III, campió de l'individual en 2015, abans del començament de l'edició de 2016.	CC-BY-SA 4.0
La Represa - Ràdio Godella - 21-10-2016.ogg	Entrevista amb Josep Nadal, vocalusta i fundador de La Gossa Sorda	CC-BY-SA 4.0
Oració de Sant Roro (Barxeta).ogg	Oració de Sant Roro	PermissionTicket|id=2016111410011367|user=Ruthven
Nadala - Vallés (Fermín Pardo).ogg	Nadala enregistrada a Vallés (La Costera).	CC-BY-SA 4.0
Aguinaldo - Vallés (Fermín Pardo).ogg	Cançó d'Aguinaldo enregistrada a Vallés (La Costera).	CC-BY-SA 4.0
Amàlia Garrigós - voice.ogg	Autopresentació (curta) d'Amàlia Garrigós, realitzada a la seua entrevista a La Represa	cc-by-sa-4.0
